id,AGE,SEX,Land use mix-diversity,Residential density,Land use mix-access,Street connectivity,Walking/Cycling facilities,Neighborhood aesthetics,Pedestrian and automobile traffic safety,Crime safety
142,16,2,1,2,1,1,2,2,1,2
143,16,2,1,2,1,2,2,1,1,2
144,15,2,1,2,1,1,1,2,1,1
145,15,2,2,2,1,2,2,2,2,2
146,15,2,1,1,1,1,1,1,1,2
147,15,2,2,2,1,2,1,2,1,2
148,15,2,1,2,1,1,2,1,1,2
149,15,2,1,2,1,1,1,1,1,2
150,16,2,1,1,1,1,1,1,1,2
151,16,2,1,2,2,2,2,2,2,1
152,15,1,1,1,2,1,1,1,1,2
153,16,1,2,2,1,1,2,2,1,2
154,15,1,1,2,1,2,1,2,1,2
155,15,2,2,2,1,2,1,2,2,2
156,16,1,2,2,1,2,1,1,1,1
157,16,1,2,2,1,2,2,2,1,2
158,15,2,2,1,2,1,1,2,1,2
159,15,2,2,2,2,2,2,2,2,1
160,16,2,2,2,1,1,2,2,2,2
161,16,1,2,2,1,1,1,2,1,2
162,16,2,2,2,1,2,2,2,1,2
163,15,2,2,2,2,1,2,1,2,1
164,16,2,2,2,1,1,1,1,1,2
165,16,1,2,2,1,1,1,1,1,2
166,16,2,2,2,1,2,1,1,1,1
167,16,2,2,2,1,2,1,2,1,1
168,16,1,2,2,1,1,2,1,1,2
169,16,1,2,2,1,1,2,2,1,1
170,16,1,2,2,2,1,2,2,1,2
171,15,2,2,2,1,2,1,2,2,2
172,16,1,2,2,2,2,2,1,2,2
173,15,1,1,1,1,1,1,1,1,2
174,16,1,2,2,2,2,2,2,2,2
175,15,1,2,2,1,1,2,2,2,2
176,16,1,2,2,2,2,2,1,1,1
177,15,2,2,2,2,1,2,2,2,2
178,16,1,1,2,1,1,1,1,1,2
179,16,1,2,1,2,1,1,1,1,2
180,15,1,2,2,1,1,1,1,1,2
181,16,1,2,2,1,2,2,2,2,2
182,16,1,2,2,1,1,1,1,1,2
183,16,1,2,2,1,2,1,1,1,1
184,16,2,2,2,1,1,2,2,2,2
185,16,1,2,2,1,1,1,2,1,2
186,16,2,2,2,1,1,1,2,2,2
187,16,1,2,2,1,2,2,2,1,2
188,16,2,2,2,1,1,2,1,2,2
189,15,2,2,2,1,2,2,1,2,2
190,16,1,1,2,1,1,1,1,2,2
191,15,1,2,2,1,2,1,1,2,2
192,15,2,2,2,1,1,1,2,1,2
193,16,2,2,1,2,1,2,2,1,2
194,16,1,1,2,1,1,2,2,2,2
195,15,1,2,2,1,2,1,2,2,2
196,16,1,2,2,1,1,1,2,2,2
197,15,1,2,2,2,2,1,2,2,2
198,15,1,2,2,1,1,1,1,1,2
199,16,2,2,2,1,1,2,1,1,2
200,16,2,2,2,1,1,1,2,2,2
201,16,1,2,2,2,2,2,2,2,2
202,15,2,1,2,1,1,1,1,2,2
203,15,1,1,2,1,1,1,2,1,1
204,15,2,2,2,2,1,2,1,1,2
205,15,2,2,2,1,2,2,1,1,1
206,15,2,2,2,1,1,1,1,1,1
207,16,2,2,2,2,2,2,2,2,2
208,16,1,2,2,1,1,1,1,1,1
209,15,2,2,2,1,1,1,2,2,2
210,15,2,2,2,2,2,2,2,2,1
211,15,2,2,2,1,1,1,1,1,2
212,16,1,1,2,1,2,1,1,2,2
213,16,1,2,2,1,1,2,2,1,2
214,15,1,2,2,1,1,2,1,1,2
215,16,1,2,2,2,2,1,2,1,2
216,15,1,2,2,1,1,1,1,2,2
217,15,1,2,2,1,1,1,1,2,2
218,15,1,2,2,1,2,1,2,1,2
219,16,2,2,2,1,2,1,1,1,2
220,15,2,2,2,1,1,1,1,1,2
221,16,2,2,2,2,2,2,2,1,1
222,15,2,2,2,2,1,2,2,1,2
223,15,2,2,1,1,2,1,2,2,2
224,15,1,2,2,1,1,1,1,1,2
225,15,2,2,2,1,1,1,1,2,2
226,15,2,2,2,1,2,1,1,1,2
227,15,1,2,2,1,1,1,1,1,2
228,16,1,2,2,1,1,2,2,2,1
229,16,2,2,2,1,1,1,2,1,1
230,15,2,2,2,1,1,2,2,1,2
231,16,2,2,1,1,1,2,2,1,2
232,16,2,1,1,1,1,1,2,1,1
233,16,2,2,2,1,1,1,2,2,2
234,15,2,2,2,1,1,1,2,1,2
235,15,1,2,1,1,1,1,2,1,1
236,16,1,2,2,2,1,1,2,2,2
237,15,1,1,2,1,2,1,1,1,2
238,15,1,1,2,1,2,2,1,1,2
239,15,1,1,2,1,1,2,1,2,2
240,15,2,2,2,2,1,1,2,2,2
241,16,1,2,2,1,2,2,2,1,2
242,15,2,2,2,2,2,2,2,2,2
243,16,1,2,2,1,2,1,2,1,1
244,16,2,2,2,1,1,1,1,1,2
245,16,1,2,2,1,2,1,2,1,2
246,15,1,1,2,1,1,1,2,1,2
247,15,2,2,2,1,1,1,1,2,2
248,16,2,2,2,1,1,2,2,1,2
249,16,1,2,2,2,1,1,1,1,2
250,16,1,2,1,1,1,2,2,1,2
251,16,2,2,2,2,2,2,1,1,2
252,15,1,2,2,2,1,1,2,2,2
253,15,2,2,2,1,1,2,2,2,1
254,15,2,2,2,1,1,1,2,1,2
255,15,2,2,2,1,1,2,2,1,2
256,15,1,2,2,2,1,2,2,2,2
257,16,1,2,2,1,2,1,2,2,2
258,15,1,2,2,1,1,2,2,1,2
259,16,2,2,2,1,2,2,1,2,1
260,15,1,2,2,1,2,1,1,2,2
261,16,2,2,2,1,1,2,1,1,1
262,16,1,2,2,1,2,1,2,1,2
263,16,1,2,2,1,1,1,1,1,2
264,16,2,2,2,1,1,1,1,2,1
265,16,2,2,2,1,1,1,2,2,2
266,15,2,2,2,2,1,1,2,1,2
267,15,1,2,2,1,2,2,2,1,2
268,15,2,2,2,1,2,1,1,1,2
269,16,2,2,2,2,1,1,1,1,2
